licensePlate,name,price,available
KNDPB3A23D7869196,Cadillac,858.1,1
WAUEL94FX6N564005,Land Rover,300.4,1
TRUB3AFK7D1124254,Pontiac,665.48,1
1FAHP2DWXBG612862,Ford,343.81,1
3N1CN7AP1EL437392,Acura,934.15,0
WBAXH5C54CC559658,Mercedes-Benz,424.19,1
1B3CB1HA5BD784201,Lexus,298.04,0
1G6DP5E3XD0594604,Chevrolet,107.94,0
JM1NC2LF8E0713115,Mazda,600.95,0
WBAWC33599P272171,Pontiac,218.06,0
WAULFAFH6AN502849,Bentley,471.27,0
5N1AA0NC9CN394220,Ford,11.78,0
WAUHF78P88A288591,Suzuki,147.07,1
3D7TP2CT6AG660959,Ford,311.53,1
ZFBCFADH7FZ333689,Hyundai,348.97,1
2G61N5S34D9154798,Honda,856.85,1
WBAWL73567P520493,Subaru,31.61,1
3VWKX7AJ6CM508802,Nissan,610.89,1
WBAFB335X1L664171,Dodge,65.14,0
WAUDH74F18N710795,Nissan,248.69,1
KM8JT3AB0CU925772,Mitsubishi,575.15,1
3VW507AT5FM659993,Dodge,890.48,0
5J6TF3H36CL009679,Cadillac,75.93,1
WBABN33441J107118,Lamborghini,564.07,0
1VWAS7A39FC279212,Volvo,575.19,0
1D7RE3GK1BS661468,Ford,338.28,0
WDDGF4HBXDG922708,Lexus,5.88,1
5GAEV13D49J625229,Mazda,117.41,1
ML32A3HJ1EH355677,Pontiac,534.87,0
1GKS2FEJ0CR294236,Mazda,452.28,1
4T3BA3BB5CU374819,Buick,889.38,0
2V4RW3DG4BR607290,Hyundai,147.4,0
5UXWX5C50BL330876,Hummer,199.27,1
WBA3B5C51DP300216,Mazda,546.62,0
WAUKH78E56A513951,Lexus,777.06,1
WAULFAFH5AN529492,Mitsubishi,704.21,0
2C3CDXHG8DH229740,Acura,728.53,0
WAUKG94F26N886693,Cadillac,717.48,1
WBAPT73529C022192,Suzuki,936.75,0
WAUDH98E26A043673,Subaru,402.99,0
1C3BC1FB3BN990750,Nissan,203.15,1
WBAYF4C54DD126941,Lamborghini,336.15,1
1GYEE53A690694919,Bentley,173.05,1
JN1AJ0HP1AM802346,Chevrolet,246.21,0
1N6AF0LY5FN309248,Maserati,571.13,1
3D73M4HL5BG221864,Honda,748.11,0
WBA3T1C55EP482784,Chevrolet,80.28,0
1HGCR6F50FA498908,Ford,990.19,0
WA1VMAFE9FD344506,Aston Martin,757.63,0
SCFAD06D69G767120,Ford,178.22,1
2GKALMEK2F6419176,Mazda,822.94,1
1GYS4KEF1CR130742,Mitsubishi,717.78,1
WBABV13406J609667,Toyota,150.74,0
WAUJC58E05A480399,GMC,960.95,1
WDDNG7BB1AA775790,Porsche,950.17,0
WAUBC48H35K095678,Chevrolet,666.08,0
5GNRNGEE7A8009125,Toyota,56.6,0
JTDKDTB3XF1918105,Ford,936.81,1
3D73Y3HL3BG233705,Ford,571.98,0
1FTSX2B58AE396463,Buick,723.8,0
WAUHFAFL1DN705100,Mazda,283.92,1
5TDBM5G19AS862091,Nissan,499.95,0
WA1YD54BX2N567929,Toyota,181.92,0
SCFAB22332K265750,Lexus,236.06,0
WAUDH48H08K274145,GMC,875.11,0
WBAVA33517F741886,Honda,295.67,0
2FMPK3K98FB581768,Pontiac,989.18,0
SCBLC37F25C237811,Buick,727.33,1
JN8AE2KPXD9424299,Chevrolet,165.34,1
19UUA9F22AA130189,Toyota,977.86,0
ZFF75VFAXF0122520,Toyota,790.41,0
WA1KK98RX9A002978,Pontiac,684.29,1
1G6YV36A585415497,Chevrolet,616.88,0
2C4RDGCG0FR705831,Mercury,883.21,1
5N1AN0NW7FN575318,Mitsubishi,670.3,1
3VW467AT7DM733678,Honda,962.24,0
3C3CFFARXFT726721,Ford,857.81,0
WAUEL74F66N155813,Mitsubishi,87.52,0
JN1CV6EK9AM039176,Audi,681.19,0
YV1902MD0F1408852,Land Rover,663.58,0
1G4GG5E3XDF056522,Toyota,480.2,0
1G4PS5SKXE4692834,Pontiac,363.73,1
WA1WMAFP1EA905660,Pontiac,540.77,0
WVWAB7AJ4DW520168,Lincoln,172.07,1
1G6DJ8EG8A0117543,Lincoln,165.44,1
SCFFDECN9CG875707,Mazda,692.37,0
1GYFK13279R719823,Mazda,210.3,1
YV4940BZ9D1010515,Chevrolet,737.99,1
1FTEX1CM1BF822342,Chrysler,230.97,1
JTDKN3DP3E3842646,Dodge,618.07,0
1C6RD6HT0CS368305,Chevrolet,875.45,0
3C6JD7CT1CG121084,BMW,132.05,0
1LNHL9DR3AG953281,Chevrolet,646.58,1
4JGBF2FB9AA945340,Mazda,738.81,1
3VW4T7AT4DM597583,Cadillac,971.84,1
WA1WMBFE4CD912490,Porsche,163.03,0
JTHBB1BA7B2940381,Hummer,224.02,0
1C4AJWAG7FL056329,Ford,711.73,1
1FTMF1E89AF454327,Ford,458.02,0
1GYS3KEF5DR278218,Chevrolet,625.08,1
